date,author,notebook,url,votes,claimed_score,visible_score,last_update,method_family,stateful,stateless,crop_strategy,livestock_strategy,land_strategy,labor_strategy,market_strategy,routing_strategy,replay_based,source_available,license,notes
"2026-09-07","pilkwang","Kaggriculture: Structured Economic Policy","https://www.kaggle.com/code/pilkwang/kaggriculture-structured-economic-policy","102","UNKNOWN","UNKNOWN","2026-09-03","economic rule-based planning","UNKNOWN","UNKNOWN","terminal-feasible production","discounted production value","shadow price","workload responsive; Fibonacci wages","ordered liquidity ledger","greedy mission matching","no","yes; ipynb downloaded","Apache-2.0; page verified","page v39 of40; downloaded version must be rechecked before reuse; overnight positioning and order-priority prose need correction; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","kaitofukami","177/180 Fresh Top-30 | v21.1 Conditional Memory","https://www.kaggle.com/code/kaitofukami/177-180-fresh-top-30-v21-1-conditional-memory","101","UNKNOWN","896.9","2026-08-06","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","thomastschinkel","Kaggriculture: Public State Router (74.5% Win Rate","https://www.kaggle.com/code/thomastschinkel/kaggriculture-public-state-router-74-5-win-rate","98","UNKNOWN","2473.8","2026-09-06","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","prvsiyan","Kaggriculture Frontier | The Soil Remembers Rain","https://www.kaggle.com/code/prvsiyan/kaggriculture-frontier-the-soil-remembers-rain","96","UNKNOWN","1672.7","2026-08-28","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","indarkarhana","Shape the Shop Work the Pasture (TOP 10)","https://www.kaggle.com/code/indarkarhana/shape-the-shop-work-the-pasture-top-10","94","UNKNOWN","UNKNOWN","2026-08-30","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","georgymamarin","Kaggriculture, Visualized: What Every Crop Pays","https://www.kaggle.com/code/georgymamarin/kaggriculture-visualized-what-every-crop-pays","90","UNKNOWN","UNKNOWN","2026-08-17","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","flexonafft","Kaggriculture | Multi-Route Farming Agent","https://www.kaggle.com/code/flexonafft/kaggriculture-multi-route-farming-agent","89","UNKNOWN","1416.9","2026-08-20","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","prvsiyan","Kaggriculture Frontier | The Moon Counts Melons","https://www.kaggle.com/code/prvsiyan/kaggriculture-frontier-the-moon-counts-melons","85","UNKNOWN","1648.1","2026-08-28","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","destbreso","X-ray your agent","https://www.kaggle.com/code/destbreso/x-ray-your-agent","28","UNKNOWN","UNKNOWN","2026-09-07","replay diagnostics","UNKNOWN","UNKNOWN","counts by day","herd and CARE","purchase-day curves","unit action shares","ordered market comparisons","lineage and within-world variation","yes","yes; ipynb downloaded","Apache-2.0; page verified","v53; saved output 74 episodes; not independently fetched; nine-shop prose conflicts with official cap eight; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","az05192000gmailcom","Kaggriculture | From Orders to Actual Trades","https://www.kaggle.com/code/az05192000gmailcom/kaggriculture-from-orders-to-actual-trades","0","UNKNOWN","UNKNOWN","2026-09-07","cashflow reconstruction","UNKNOWN","UNKNOWN","demo only","demo goose","demo expansion","demo hand","unitwise settlement and reconciliation","unit actions before market","yes","yes; ipynb downloaded","Apache-2.0; page verified","v4; demo 1438 player-turns reconciled; not competitive evidence; not rerun; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","motemen","Kaggriculture Meta Census - Lineage Occupancy","https://www.kaggle.com/code/motemen/kaggriculture-meta-census-lineage-occupancy","0","UNKNOWN","UNKNOWN","2026-09-07","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","georgymamarin","Kaggriculture Daily Replays: The Live Meta Report","https://www.kaggle.com/code/georgymamarin/kaggriculture-daily-replays-the-live-meta-report","37","UNKNOWN","UNKNOWN","2026-09-07","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","hank0123","Kaggriculture: Is Your Agent Really Better?","https://www.kaggle.com/code/hank0123/kaggriculture-is-your-agent-really-better","0","UNKNOWN","UNKNOWN","2026-09-07","paired statistical evaluation","UNKNOWN","UNKNOWN","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no","yes; ipynb downloaded","Apache-2.0; page verified","v1; SYNTHETIC 96 rows; not game performance; pair bootstrap limitations documented; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","ashok205","top10-replay-dataset-archive","https://www.kaggle.com/code/ashok205/top10-replay-dataset-archive","8","UNKNOWN","UNKNOWN","2026-09-07","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","serariagomes","Kaggriculture Rule-based Agent","https://www.kaggle.com/code/serariagomes/kaggriculture-rule-based-agent","0","UNKNOWN","288.1","2026-09-07","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","junaid512","02 Adaptive Replay Agent","https://www.kaggle.com/code/junaid512/02-adaptive-replay-agent","1","UNKNOWN","984","2026-09-07","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","bssgirl","notebook317289f44a","https://www.kaggle.com/code/bssgirl/notebook317289f44a","2","UNKNOWN","199.1","2026-09-07","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","busyaprime","Kaggriculture, five days of the ladder","https://www.kaggle.com/code/busyaprime/kaggriculture-five-days-of-the-ladder","0","UNKNOWN","UNKNOWN","2026-09-07","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","busyaprime","What actually wins on the Kaggriculture ladder","https://www.kaggle.com/code/busyaprime/what-actually-wins-on-the-kaggriculture-ladder","28","UNKNOWN","UNKNOWN","2026-09-07","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","ayeshasummaiyya","Fields of Fortune | Strategic Farming Agent","https://www.kaggle.com/code/ayeshasummaiyya/fields-of-fortune-strategic-farming-agent","5","UNKNOWN","363.6","2026-09-07","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","dmitriigluzdov","Kaggriculture Goose Portfolio | Historical LB 2615","https://www.kaggle.com/code/dmitriigluzdov/kaggriculture-goose-portfolio-historical-lb-2615","5","2615.0 historical; same code 1833.3","UNKNOWN","2026-09-06","route plus herd valuation","UNKNOWN","UNKNOWN","inherited Moon route","2 cows vs mixed vs 2 geese","inherited","inherited","joint herd impact; liquidation","fixed schedule plus repairs","yes","yes; ipynb downloaded","Apache-2.0; page verified","v2; historical 2615 vs same-code 1833.3; 48-game panel did not activate guard; not causal evidence; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","evgendvorkin","Kaggriculture","https://www.kaggle.com/code/evgendvorkin/kaggriculture","28","UNKNOWN","2446.6","2026-09-06","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","flexonafft","Kaggriculture | Smart Farm Strategy Lab","https://www.kaggle.com/code/flexonafft/kaggriculture-smart-farm-strategy-lab","15","UNKNOWN","2405.3","2026-09-06","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","yamakawanin","Kaggriculture 2312.9 - Q30 v2a","https://www.kaggle.com/code/yamakawanin/kaggriculture-2312-9-q30-v2a","4","2312.9 title","UNKNOWN","2026-09-06","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","holeneckles","Grandmaster","https://www.kaggle.com/code/holeneckles/grandmaster","0","UNKNOWN","370.5","2026-09-06","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","adilshamim8","kaggriculture-grandmaster-starter","https://www.kaggle.com/code/adilshamim8/kaggriculture-grandmaster-starter","11","UNKNOWN","402.4","2026-09-06","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","lynnsakurai","Farming Score: A Mathematical Approach","https://www.kaggle.com/code/lynnsakurai/farming-score-a-mathematical-approach","36","UNKNOWN","1812.9","2026-09-06","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","boatlee","V17-R1-RC2 | High-Score 10C/4S Market & Storage","https://www.kaggle.com/code/boatlee/v17-r1-rc2-high-score-10c-4s-market-storage","15","UNKNOWN","2587.6","2026-08-13","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","boatlee","V20-Adaptive-R1 | Multi-Route Agent","https://www.kaggle.com/code/boatlee/v20-adaptive-r1-multi-route-agent","67","UNKNOWN","2578.2","2026-08-17","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","ravi123a321at","177/180 Fresh Top-30 | v21.1 Conditional Memory","https://www.kaggle.com/code/ravi123a321at/177-180-fresh-top-30-v21-1-conditional-memory","2","UNKNOWN","2517.1","2026-08-06","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","reyhanksatria","best market agent - high strategy","https://www.kaggle.com/code/reyhanksatria/best-market-agent-high-strategy","13","UNKNOWN","2497.9","2026-08-15","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","web3cainiao","Kaggriculture v21 Tactical Memory","https://www.kaggle.com/code/web3cainiao/kaggriculture-v21-tactical-memory","7","UNKNOWN","2491.7","2026-08-06","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","boatlee","V21-R1 | Public-State Route Portfolio","https://www.kaggle.com/code/boatlee/v21-r1-public-state-route-portfolio","63","UNKNOWN","2467.9","2026-08-21","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","andrewsokolovsky","Kaggriculture","https://www.kaggle.com/code/andrewsokolovsky/kaggriculture","13","UNKNOWN","2441.2","2026-08-08","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","avioon","Kaggriculture Apex V7 God Emperor","https://www.kaggle.com/code/avioon/kaggriculture-apex-v7-god-emperor","50","UNKNOWN","2374.5","2026-09-05","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","boatlee","V13-R3 | Top-Meta Order-Safe Premium Control","https://www.kaggle.com/code/boatlee/v13-r3-top-meta-order-safe-premium-control","15","UNKNOWN","2359.8","2026-08-06","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","navazshfathi","177/180 Fresh Top-30 | v21.1 Conditional Memory","https://www.kaggle.com/code/navazshfathi/177-180-fresh-top-30-v21-1-conditional-memory","3","UNKNOWN","2332.1","2026-08-06","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","ryanmyers03","Kaggriculture Agent v1","https://www.kaggle.com/code/ryanmyers03/kaggriculture-agent-v1","1","UNKNOWN","2217.5","2026-08-16","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","llccqq624","Kaggriculture Top-5 Meta Ensemble","https://www.kaggle.com/code/llccqq624/kaggriculture-top-5-meta-ensemble","9","UNKNOWN","2178","2026-08-06","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","flexonafft","Kaggriculture | Adaptive Farm Intelligence","https://www.kaggle.com/code/flexonafft/kaggriculture-adaptive-farm-intelligence","52","UNKNOWN","2156.3","2026-09-05","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","prvsiyan","Kaggle Frontier Lab | Strategy Improvement","https://www.kaggle.com/code/prvsiyan/kaggle-frontier-lab-strategy-improvement","57","UNKNOWN","2126.8","2026-08-03","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","prvsiyan","Where the Wheat Remembers Tomorrow | Kaggriculture","https://www.kaggle.com/code/prvsiyan/where-the-wheat-remembers-tomorrow-kaggriculture","11","UNKNOWN","2110.7","2026-09-05","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","destbreso","97% predictable: Extracting decision trees","https://www.kaggle.com/code/destbreso/97-predictable-extracting-decision-trees","5","UNKNOWN","UNKNOWN","2026-09-06","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","chaimaamatrag","kaggriculture_competition","https://www.kaggle.com/code/chaimaamatrag/kaggriculture-competition","12","UNKNOWN","260.4","2026-09-05","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","reyhanksatria","Kaggriculture: Adaptive Shop Guard","https://www.kaggle.com/code/reyhanksatria/kaggriculture-adaptive-shop-guard","34","UNKNOWN","1654.1","2026-08-25","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
