topic,author,date,url,claim,evidence,Kaggle_staff_confirmed,experiment_needed,risk
"I came here to build a farming agent. I ended up building a replay-measurement pipeline","sobameshi","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/739273","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"If I am going to write rules anyway why train a model? Behavior Cloning","Zhenyu Zhang","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/738079","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Beyond Replay Cloning: Stuck despite PPO GA and Beam Search","Nguyen Manh","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/738325","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"X-ray your agent, or what one submission id gives away","destbreso","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/738563","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Resolved: obs step missing for seat 1 in env.step/env.steps","stpete_ishii","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/737545","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"1st Place previously - Submission Strategy for beginners","Ryo Hasegawa","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/736219","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"End-to-End RL Is Harder Than It Looks","dzjiann","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/736567","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Melon is not in any shop menu","Karthikeya Thatipamula","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/738075","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Price curves differ wildly by product - data from 5 top-agent replays","starkhushi","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/737736","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Kaggriculture - Hillclimbing","Ritwik Raha","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/737879","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Split weeds and shop randomness proposal","Amedeo Biolatti","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/737663","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Code and Dataset archives for Replay analysis BC RL","NNMax","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/737764","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Crop economics per tile-day and all-melon bankruptcy","starkhushi","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/737731","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Inferring Opponent Inventory Quantity and Uncertainty from Public State","dzjiann","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/737027","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Daily Top dumps and API-crawled corpus stopped overlapping on Aug 9","Georgy Mamarin","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/736625","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"RL of Meta Agent: 960 Matchups and a PPO Plateau","dzjiann","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/736439","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"RL model release working link","Foodle Jang","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/736407","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"The price table ranks crops backwards - town appetite sets the price","Luka Duvanov","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/734412","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Documentation vs Engine Discrepancies","SIDHAARTH SHREE","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/732450","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Balance Changes","Bovard Doerschuk-Tiberi","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/733431","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Are random seeds or future events available at game start","Gerardo Del Toro","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/734743","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Why top solutions are not using fourth quadrant","Amon","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/734308","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Can closed-loop really outperform open-loop","KK.YunboZhao","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/733002","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Terminal settlement","wenyuan Guo","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/733155","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"A few rule questions for organizers","Yan Zhou","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/731953","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Bug? CARE rate","Jonathan Roy","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/732820","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Full action spec HIRE land animals","RamonLopez","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/732728","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Hired hands spawn on locked land and get stuck","Victor Merckle","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/731635","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Why Opponents Matter Shared-Market Dynamics","MakiMakiAi","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/732121","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Seat swap did not move my bank - 6 seeds both seats","Georgy Mamarin","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/731152","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
